03/03/22 1:01:12: style.scss - Undefined variable $black: style.scss on line 16, at column 2
03/03/22 1:01:12: c--button.scss - Undefined variable $black_000: c--button.scss on line 17, at column 2
03/03/22 1:01:12: c--cardTemplate.scss - Undefined variable $tab: c--cardTemplate.scss on line 13, at column 2
03/03/22 1:01:12: c--footer.scss - Undefined variable $gray_dbd: c--footer.scss on line 14, at column 2
03/03/22 1:01:12: c--gnav.scss - Undefined variable $black_000: c--gnav.scss on line 23, at column 2
03/03/22 1:01:12: c--hamburger.scss - Undefined variable $black_000: c--hamburger.scss on line 52, at column 5
03/03/22 1:01:12: c--header.scss - Undefined variable $lightgray_F7F: c--header.scss on line 14, at column 3
03/03/22 1:01:12: c--magazine.scss - Undefined variable $tab: c--magazine.scss on line 21, at column 3
03/03/22 1:01:12: c--pagination.scss - Undefined variable $primary: c--pagination.scss on line 35, at column 5
03/03/22 1:01:12: c--sectionTemplate.scss - Undefined variable $tab: c--sectionTemplate.scss on line 15, at column 2
03/03/22 1:01:12: c--strengthSection.scss - Undefined variable $primary: c--strengthSection.scss on line 48, at column 4
03/03/22 1:01:12: c--titleType1.scss - Undefined variable $black_000: c--titleType1.scss on line 9, at column 5
03/03/22 1:01:12: c--titleType2.scss - Undefined variable $black_000: c--titleType2.scss on line 21, at column 9
03/03/22 1:01:20: style.scss - Undefined variable $black: style.scss on line 16, at column 2
03/03/22 1:01:20: c--button.scss - Undefined variable $black_000: c--button.scss on line 17, at column 2
03/03/22 1:01:20: c--cardTemplate.scss - Undefined variable $tab: c--cardTemplate.scss on line 13, at column 2
03/03/22 1:01:20: c--footer.scss - Undefined variable $gray_dbd: c--footer.scss on line 14, at column 2
03/03/22 1:01:20: c--gnav.scss - Undefined variable $black_000: c--gnav.scss on line 23, at column 2
03/03/22 1:01:20: c--hamburger.scss - Undefined variable $black_000: c--hamburger.scss on line 52, at column 5
03/03/22 1:01:20: c--header.scss - Undefined variable $lightgray_F7F: c--header.scss on line 14, at column 3
03/03/22 1:01:20: c--magazine.scss - Undefined variable $tab: c--magazine.scss on line 21, at column 3
03/03/22 1:01:20: c--pagination.scss - Undefined variable $primary: c--pagination.scss on line 35, at column 5
03/03/22 1:01:20: c--sectionTemplate.scss - Undefined variable $tab: c--sectionTemplate.scss on line 15, at column 2
03/03/22 1:01:20: c--strengthSection.scss - Undefined variable $primary: c--strengthSection.scss on line 48, at column 4
03/03/22 1:01:20: c--titleType1.scss - Undefined variable $black_000: c--titleType1.scss on line 9, at column 5
03/03/22 1:01:20: c--titleType2.scss - Undefined variable $black_000: c--titleType2.scss on line 21, at column 9
03/03/22 1:02:25: style.scss - Undefined variable $black: style.scss on line 16, at column 2
03/03/22 1:02:25: c--button.scss - Undefined variable $black_000: c--button.scss on line 17, at column 2
03/03/22 1:02:25: c--cardTemplate.scss - Undefined variable $tab: c--cardTemplate.scss on line 13, at column 2
03/03/22 1:02:25: c--footer.scss - Undefined variable $gray_dbd: c--footer.scss on line 14, at column 2
03/03/22 1:02:25: c--gnav.scss - Undefined variable $black_000: c--gnav.scss on line 23, at column 2
03/03/22 1:02:25: c--hamburger.scss - Undefined variable $black_000: c--hamburger.scss on line 52, at column 5
03/03/22 1:02:25: c--header.scss - Undefined variable $lightgray_F7F: c--header.scss on line 14, at column 3
03/03/22 1:02:25: c--magazine.scss - Undefined variable $tab: c--magazine.scss on line 21, at column 3
03/03/22 1:02:25: c--pagination.scss - Undefined variable $primary: c--pagination.scss on line 35, at column 5
03/03/22 1:02:25: c--sectionTemplate.scss - Undefined variable $tab: c--sectionTemplate.scss on line 15, at column 2
03/03/22 1:02:25: c--strengthSection.scss - Undefined variable $primary: c--strengthSection.scss on line 48, at column 4
03/03/22 1:02:25: c--titleType1.scss - Undefined variable $black_000: c--titleType1.scss on line 9, at column 5
03/03/22 1:02:25: c--titleType2.scss - Undefined variable $black_000: c--titleType2.scss on line 21, at column 9
03/03/22 1:04:26: style.scss - Undefined variable $black: style.scss on line 16, at column 2
03/03/22 1:04:26: c--button.scss - Undefined variable $black_000: c--button.scss on line 17, at column 2
03/03/22 1:04:26: c--cardTemplate.scss - Undefined variable $tab: c--cardTemplate.scss on line 13, at column 2
03/03/22 1:04:26: c--footer.scss - Undefined variable $gray_dbd: c--footer.scss on line 14, at column 2
03/03/22 1:04:26: c--gnav.scss - Undefined variable $black_000: c--gnav.scss on line 23, at column 2
03/03/22 1:04:26: c--hamburger.scss - Undefined variable $black_000: c--hamburger.scss on line 52, at column 5
03/03/22 1:04:26: c--header.scss - Undefined variable $lightgray_F7F: c--header.scss on line 14, at column 3
03/03/22 1:04:26: c--magazine.scss - Undefined variable $tab: c--magazine.scss on line 21, at column 3
03/03/22 1:04:26: c--pagination.scss - Undefined variable $primary: c--pagination.scss on line 35, at column 5
03/03/22 1:04:26: c--sectionTemplate.scss - Undefined variable $tab: c--sectionTemplate.scss on line 15, at column 2
03/03/22 1:04:26: c--strengthSection.scss - Undefined variable $primary: c--strengthSection.scss on line 48, at column 4
03/03/22 1:04:26: c--titleType1.scss - Undefined variable $black_000: c--titleType1.scss on line 9, at column 5
03/03/22 1:04:26: c--titleType2.scss - Undefined variable $black_000: c--titleType2.scss on line 21, at column 9
03/03/22 1:06:27: style.scss - Undefined variable $black: style.scss on line 16, at column 2
03/03/22 1:06:27: c--button.scss - Undefined variable $black_000: c--button.scss on line 17, at column 2
03/03/22 1:06:27: c--cardTemplate.scss - Undefined variable $tab: c--cardTemplate.scss on line 13, at column 2
03/03/22 1:06:27: c--footer.scss - Undefined variable $gray_dbd: c--footer.scss on line 14, at column 2
03/03/22 1:06:27: c--gnav.scss - Undefined variable $black_000: c--gnav.scss on line 23, at column 2
03/03/22 1:06:27: c--hamburger.scss - Undefined variable $black_000: c--hamburger.scss on line 52, at column 5
03/03/22 1:06:27: c--header.scss - Undefined variable $lightgray_F7F: c--header.scss on line 14, at column 3
03/03/22 1:06:27: c--magazine.scss - Undefined variable $tab: c--magazine.scss on line 21, at column 3
03/03/22 1:06:27: c--pagination.scss - Undefined variable $primary: c--pagination.scss on line 35, at column 5
03/03/22 1:06:27: c--sectionTemplate.scss - Undefined variable $tab: c--sectionTemplate.scss on line 15, at column 2
03/03/22 1:06:27: c--strengthSection.scss - Undefined variable $primary: c--strengthSection.scss on line 48, at column 4
03/03/22 1:06:27: c--titleType1.scss - Undefined variable $black_000: c--titleType1.scss on line 9, at column 5
03/03/22 1:06:27: c--titleType2.scss - Undefined variable $black_000: c--titleType2.scss on line 21, at column 9
03/03/22 1:08:28: style.scss - Undefined variable $black: style.scss on line 16, at column 2
03/03/22 1:08:28: c--button.scss - Undefined variable $black_000: c--button.scss on line 17, at column 2
03/03/22 1:08:28: c--cardTemplate.scss - Undefined variable $tab: c--cardTemplate.scss on line 13, at column 2
03/03/22 1:08:28: c--footer.scss - Undefined variable $gray_dbd: c--footer.scss on line 14, at column 2
03/03/22 1:08:28: c--gnav.scss - Undefined variable $black_000: c--gnav.scss on line 23, at column 2
03/03/22 1:08:28: c--hamburger.scss - Undefined variable $black_000: c--hamburger.scss on line 52, at column 5
